,Start,Goal,h_func,Weight,Lenght,Steps
0,"(88, 123)","(228, 132)",euclidean,1.5,173.22539674441626,435
1,"(222, 244)","(149, 112)",euclidean,1.5,164.72287142747456,141
2,"(41, 193)","(179, 118)",euclidean,1.5,216.03657992645952,1989
3,"(244, 131)","(148, 126)",euclidean,1.5,104.69848480983495,149
4,"(85, 187)","(141, 203)",euclidean,1.5,86.4680374315354,657
5,"(155, 121)","(214, 58)",euclidean,1.5,122.12489168102776,1102
6,"(141, 55)","(138, 227)",euclidean,1.5,174.8994949366117,173
7,"(90, 25)","(195, 24)",euclidean,1.5,122.32590180780444,251
8,"(130, 62)","(243, 144)",euclidean,1.5,171.7106781186548,523
9,"(172, 102)","(163, 49)",euclidean,1.5,56.72792206135784,54
10,"(41, 167)","(172, 93)",euclidean,1.5,205.50966799187825,7680
11,"(133, 5)","(79, 104)",euclidean,1.5,145.22539674441614,776
12,"(151, 109)","(73, 64)",euclidean,1.5,126.39696961966993,2303
13,"(9, 41)","(9, 131)",euclidean,1.5,91.65685424949237,91
14,"(197, 236)","(12, 218)",euclidean,1.5,280.1614716074878,7319
15,"(51, 172)","(211, 18)",euclidean,1.5,258.00714267493674,443
16,"(26, 239)","(3, 72)",euclidean,1.5,177.69848480983507,191
17,"(52, 31)","(171, 247)",euclidean,1.5,274.16147160748795,254
18,"(69, 86)","(10, 216)",euclidean,1.5,164.7817459305203,202
19,"(70, 61)","(123, 132)",euclidean,1.5,102.46803743153535,177
20,"(228, 96)","(180, 141)",euclidean,1.5,78.59797974644664,184
21,"(66, 166)","(47, 45)",euclidean,1.5,154.18376618407365,1249
22,"(44, 147)","(107, 7)",euclidean,1.5,176.9238815542514,251
23,"(9, 173)","(164, 246)",euclidean,1.5,264.29141392239893,7588
24,"(238, 116)","(250, 60)",euclidean,1.5,60.97056274847712,57
25,"(166, 41)","(245, 96)",euclidean,1.5,115.15432893255068,435
26,"(250, 68)","(2, 224)",euclidean,1.5,356.84271247462016,2973
27,"(113, 132)","(31, 16)",euclidean,1.5,176.4091629284899,663
28,"(52, 37)","(225, 229)",euclidean,1.5,302.8477631085031,1299
29,"(191, 12)","(133, 52)",euclidean,1.5,77.39696961966995,157
30,"(195, 181)","(132, 192)",euclidean,1.5,76.6690475583121,251
31,"(117, 235)","(65, 153)",euclidean,1.5,138.08326112068517,1310
32,"(4, 202)","(59, 86)",euclidean,1.5,163.32590180780457,3699
33,"(103, 139)","(232, 61)",euclidean,1.5,202.27922061357893,3452
34,"(149, 228)","(236, 249)",euclidean,1.5,96.87005768508878,102
35,"(175, 64)","(4, 249)",euclidean,1.5,339.5046173579957,6592
36,"(223, 153)","(101, 161)",euclidean,1.5,144.22539674441612,600
37,"(60, 104)","(222, 62)",euclidean,1.5,234.0660171779825,4952
38,"(25, 63)","(26, 222)",euclidean,1.5,161.07106781186553,160
39,"(168, 84)","(251, 89)",euclidean,1.5,95.35533905932733,245
40,"(55, 94)","(249, 94)",euclidean,1.5,228.79393923934038,1659
41,"(178, 76)","(230, 47)",euclidean,1.5,82.45584412271569,546
42,"(95, 66)","(158, 226)",euclidean,1.5,190.8233764908629,166
43,"(135, 168)","(253, 77)",euclidean,1.5,155.69343417595158,119
44,"(250, 37)","(184, 72)",euclidean,1.5,121.2253967444161,1988
45,"(148, 17)","(225, 230)",euclidean,1.5,264.007142674937,419
46,"(29, 166)","(98, 87)",euclidean,1.5,197.72287142747476,3924
47,"(37, 3)","(161, 10)",euclidean,1.5,126.89949493661165,125
48,"(172, 183)","(153, 0)",euclidean,1.5,199.98275605729697,300
49,"(123, 147)","(66, 8)",euclidean,1.5,185.19595949289334,590
50,"(191, 40)","(249, 92)",euclidean,1.5,90.95331880577396,287
51,"(206, 124)","(128, 155)",euclidean,1.5,96.15432893255065,165
52,"(140, 17)","(88, 68)",euclidean,1.5,98.88225099390849,1716
53,"(221, 1)","(162, 167)",euclidean,1.5,192.19595949289345,175
54,"(115, 93)","(237, 140)",euclidean,1.5,149.22539674441612,317
55,"(218, 235)","(121, 67)",euclidean,1.5,213.73506473629448,244
56,"(125, 191)","(45, 207)",euclidean,1.5,128.2670273047587,1369
57,"(110, 19)","(106, 109)",euclidean,1.5,93.31370849898475,91
58,"(82, 36)","(39, 110)",euclidean,1.5,114.88225099390851,330
59,"(106, 26)","(179, 231)",euclidean,1.5,240.7939392393402,213
60,"(190, 190)","(67, 101)",euclidean,1.5,172.55129855222077,256
61,"(115, 239)","(236, 141)",euclidean,1.5,189.3086578651015,609
62,"(92, 165)","(178, 137)",euclidean,1.5,102.56854249492373,197
63,"(174, 238)","(13, 14)",euclidean,1.5,319.91883092036835,908
64,"(124, 141)","(166, 214)",euclidean,1.5,97.91168824543138,972
65,"(61, 4)","(113, 235)",euclidean,1.5,258.8822509939088,1375
66,"(191, 73)","(185, 141)",euclidean,1.5,70.48528137423855,69
67,"(75, 125)","(111, 88)",euclidean,1.5,58.01219330881973,47
68,"(147, 152)","(191, 7)",euclidean,1.5,184.92388155425147,527
69,"(7, 89)","(214, 4)",euclidean,1.5,278.5269119345812,933
70,"(26, 19)","(170, 55)",euclidean,1.5,193.92388155425132,2253
71,"(103, 68)","(56, 158)",euclidean,1.5,111.12489168102776,99
72,"(250, 200)","(189, 45)",euclidean,1.5,183.33809511662434,238
73,"(171, 167)","(250, 50)",euclidean,1.5,152.20815280171303,130
74,"(140, 134)","(60, 224)",euclidean,1.5,142.95331880577405,680
75,"(57, 219)","(201, 197)",euclidean,1.5,211.66399692442923,3111
76,"(175, 119)","(132, 34)",euclidean,1.5,132.8700576850888,1338
77,"(176, 0)","(76, 51)",euclidean,1.5,143.7106781186547,2294
78,"(167, 250)","(218, 55)",euclidean,1.5,220.85281374238588,202
79,"(26, 34)","(167, 240)",euclidean,1.5,323.173664916308,7621
80,"(1, 46)","(13, 182)",euclidean,1.5,141.79898987322335,137
81,"(142, 48)","(51, 167)",euclidean,1.5,177.9655121145939,474
82,"(43, 126)","(82, 185)",euclidean,1.5,79.74011537017758,89
83,"(150, 31)","(101, 97)",euclidean,1.5,98.98275605729685,406
84,"(247, 64)","(150, 101)",euclidean,1.5,155.96551211459374,4725
85,"(78, 23)","(211, 139)",euclidean,1.5,225.65180361560945,1000
86,"(229, 118)","(140, 79)",euclidean,1.5,137.63961030678922,4206
87,"(91, 174)","(193, 103)",euclidean,1.5,142.3380951166242,1647
88,"(212, 81)","(1, 31)",euclidean,1.5,284.6223663640867,4013
89,"(156, 189)","(252, 31)",euclidean,1.5,200.2497833620559,186
90,"(73, 33)","(180, 35)",euclidean,1.5,133.02438661763944,455
91,"(65, 150)","(180, 131)",euclidean,1.5,155.68124086713192,1083
92,"(71, 94)","(249, 54)",euclidean,1.5,248.45079348883286,3879
93,"(48, 183)","(92, 5)",euclidean,1.5,200.36753236814738,207
94,"(32, 60)","(119, 238)",euclidean,1.5,350.7228714274752,10600
95,"(134, 54)","(215, 178)",euclidean,1.5,183.12489168102792,2012
96,"(213, 162)","(27, 128)",euclidean,1.5,345.6639969244294,26594
97,"(74, 170)","(24, 242)",euclidean,1.5,116.81118318204302,2784
98,"(252, 208)","(4, 113)",euclidean,1.5,439.759451353935,33544
99,"(140, 216)","(143, 9)",euclidean,1.5,222.91168824543158,286
