,Start,Goal,h_func,Weight,Lenght,Steps
0,"(88, 123)","(228, 132)",manhattan,1.5,190.68124086713192,1111
1,"(222, 244)","(149, 112)",manhattan,1.5,163.066017177982,135
2,"(41, 193)","(179, 118)",manhattan,1.5,230.03657992645952,1492
3,"(244, 131)","(148, 126)",manhattan,1.5,110.49747468305824,490
4,"(85, 187)","(141, 203)",manhattan,1.5,86.4680374315354,939
5,"(155, 121)","(214, 58)",manhattan,1.5,120.95331880577395,1523
6,"(141, 55)","(138, 227)",manhattan,1.5,179.87005768508874,227
7,"(90, 25)","(195, 24)",manhattan,1.5,123.15432893255065,680
8,"(130, 62)","(243, 144)",manhattan,1.5,179.4091629284898,435
9,"(172, 102)","(163, 49)",manhattan,1.5,57.55634918610404,54
10,"(41, 167)","(172, 93)",manhattan,1.5,232.7645019878173,4042
11,"(133, 5)","(79, 104)",manhattan,1.5,148.05382386916227,348
12,"(151, 109)","(73, 64)",manhattan,1.5,137.6101730552664,1589
13,"(9, 41)","(9, 131)",manhattan,1.5,93.31370849898474,91
14,"(197, 236)","(12, 218)",manhattan,1.5,283.37467504308427,8064
15,"(51, 172)","(211, 18)",manhattan,1.5,293.7645019878174,592
16,"(26, 239)","(3, 72)",manhattan,1.5,183.4974746830584,178
17,"(52, 31)","(171, 247)",manhattan,1.5,274.98989873223417,251
18,"(69, 86)","(10, 216)",manhattan,1.5,166.1959594928934,219
19,"(70, 61)","(123, 132)",manhattan,1.5,104.95331880577392,274
20,"(228, 96)","(180, 141)",manhattan,1.5,81.0832611206852,131
21,"(66, 166)","(47, 45)",manhattan,1.5,168.26702730475893,1373
22,"(44, 147)","(107, 7)",manhattan,1.5,179.26702730475876,220
23,"(9, 173)","(164, 246)",manhattan,1.5,278.2325394193533,7240
24,"(238, 116)","(250, 60)",manhattan,1.5,60.97056274847715,57
25,"(166, 41)","(245, 96)",manhattan,1.5,115.98275605729687,106
26,"(250, 68)","(2, 224)",manhattan,1.5,386.8427124746204,8564
27,"(113, 132)","(31, 16)",manhattan,1.5,181.86500705120562,337
28,"(52, 37)","(225, 229)",manhattan,1.5,328.2031021678308,689
29,"(191, 12)","(133, 52)",manhattan,1.5,78.22539674441613,388
30,"(195, 181)","(132, 192)",manhattan,1.5,78.32590180780447,501
31,"(117, 235)","(65, 153)",manhattan,1.5,144.7106781186547,860
32,"(4, 202)","(59, 86)",manhattan,1.5,166.88225099390849,3663
33,"(103, 139)","(232, 61)",manhattan,1.5,231.97770542341408,3681
34,"(149, 228)","(236, 249)",manhattan,1.5,95.69848480983501,88
35,"(175, 64)","(4, 249)",manhattan,1.5,352.5168106668156,6654
36,"(223, 153)","(101, 161)",manhattan,1.5,144.22539674441612,1102
37,"(60, 104)","(222, 62)",manhattan,1.5,244.0487732352795,4821
38,"(25, 63)","(26, 222)",manhattan,1.5,161.07106781186553,164
39,"(168, 84)","(251, 89)",manhattan,1.5,95.59797974644661,355
40,"(55, 94)","(249, 94)",manhattan,1.5,230.45079348883274,4041
41,"(178, 76)","(230, 47)",manhattan,1.5,88.15432893255065,507
42,"(95, 66)","(158, 226)",manhattan,1.5,194.9655121145939,189
43,"(135, 168)","(253, 77)",manhattan,1.5,155.69343417595155,119
44,"(250, 37)","(184, 72)",manhattan,1.5,122.88225099390847,1610
45,"(148, 17)","(225, 230)",manhattan,1.5,250.651803615609,237
46,"(29, 166)","(98, 87)",manhattan,1.5,197.72287142747476,4310
47,"(37, 3)","(161, 10)",manhattan,1.5,133.87005768508877,200
48,"(172, 183)","(153, 0)",manhattan,1.5,203.29646455628176,503
49,"(123, 147)","(66, 8)",manhattan,1.5,171.78174593052012,205
50,"(191, 40)","(249, 92)",manhattan,1.5,116.42640687119281,239
51,"(206, 124)","(128, 155)",manhattan,1.5,99.0832611206852,158
52,"(140, 17)","(88, 68)",manhattan,1.5,136.88225099390849,1882
53,"(221, 1)","(162, 167)",manhattan,1.5,201.3086578651015,275
54,"(115, 93)","(237, 140)",manhattan,1.5,149.61017305526633,219
55,"(218, 235)","(121, 67)",manhattan,1.5,216.46298679765243,365
56,"(125, 191)","(45, 207)",manhattan,1.5,128.2670273047587,1724
57,"(110, 19)","(106, 109)",manhattan,1.5,94.97056274847712,91
58,"(82, 36)","(39, 110)",manhattan,1.5,116.53910524340088,294
59,"(106, 26)","(179, 231)",manhattan,1.5,269.17871555019053,615
60,"(190, 190)","(67, 101)",manhattan,1.5,175.52186130069785,196
61,"(115, 239)","(236, 141)",manhattan,1.5,192.27922061357862,339
62,"(92, 165)","(178, 137)",manhattan,1.5,114.46803743153538,824
63,"(174, 238)","(13, 14)",manhattan,1.5,329.6173157302036,360
64,"(124, 141)","(166, 214)",manhattan,1.5,100.39696961966993,473
65,"(61, 4)","(113, 235)",manhattan,1.5,280.6812408671319,609
66,"(191, 73)","(185, 141)",manhattan,1.5,70.48528137423857,69
67,"(75, 125)","(111, 88)",manhattan,1.5,58.01219330881973,47
68,"(147, 152)","(191, 7)",manhattan,1.5,173.22539674441617,227
69,"(7, 89)","(214, 4)",manhattan,1.5,283.1543289325506,293
70,"(26, 19)","(170, 55)",manhattan,1.5,204.6934341759519,3795
71,"(103, 68)","(56, 158)",manhattan,1.5,112.78174593052013,99
72,"(250, 200)","(189, 45)",manhattan,1.5,181.0954544295049,156
73,"(171, 167)","(250, 50)",manhattan,1.5,153.03657992645924,131
74,"(140, 134)","(60, 224)",manhattan,1.5,149.58073580374355,1186
75,"(57, 219)","(201, 197)",manhattan,1.5,212.39191898578707,3896
76,"(175, 119)","(132, 34)",manhattan,1.5,137.0121933088197,393
77,"(176, 0)","(76, 51)",manhattan,1.5,153.65180361560897,2917
78,"(167, 250)","(218, 55)",manhattan,1.5,228.551298552221,231
79,"(26, 34)","(167, 240)",manhattan,1.5,425.31580054003933,9502
80,"(1, 46)","(13, 182)",manhattan,1.5,150.0832611206852,171
81,"(142, 48)","(51, 167)",manhattan,1.5,183.76450198781728,388
82,"(43, 126)","(82, 185)",manhattan,1.5,80.56854249492376,84
83,"(150, 31)","(101, 97)",manhattan,1.5,105.61017305526633,348
